year,month,value
1906,5,-0.0198284313725
1906,6,0.0191715686275
1906,7,-0.00682843137255
1906,8,-0.00582843137255
1906,9,-0.0708284313725
1906,10,-0.0378284313725
1906,11,-0.113828431373
1906,12,0.0341715686275
1907,1,-0.118828431373
1907,2,-0.195828431373
1907,3,-0.0198284313725
1907,4,-0.190828431373
1907,5,-0.242828431373
1907,6,-0.210828431373
1907,7,-0.0908284313725
1907,8,-0.142828431373
1907,9,-0.0918284313725
1907,10,-0.0438284313725
1907,11,-0.265828431373
1907,12,-0.216828431373
1908,1,-0.0948284313725
1908,2,-0.0978284313725
1908,3,-0.314828431373
1908,4,-0.231828431373
1908,5,-0.157828431373
1908,6,-0.160828431373
1908,7,-0.157828431373
1908,8,-0.218828431373
1908,9,-0.143828431373
1908,10,-0.265828431373
1908,11,-0.283828431373
1908,12,-0.253828431373
1909,1,-0.260828431373
1909,2,-0.219828431373
1909,3,-0.370828431373
1909,4,-0.288828431373
1909,5,-0.270828431373
1909,6,-0.199828431373
1909,7,-0.263828431373
1909,8,-0.00382843137255
1909,9,-0.0858284313725
1909,10,-0.163828431373
1909,11,-0.110828431373
1909,12,-0.274828431373
1910,1,-0.0368284313725
1910,2,-0.198828431373
1910,3,-0.169828431373
1910,4,-0.135828431373
1910,5,-0.155828431373
1910,6,-0.169828431373
1910,7,-0.152828431373
1910,8,-0.123828431373
1910,9,-0.124828431373
1910,10,-0.164828431373
1910,11,-0.337828431373
1910,12,-0.351828431373
1911,1,-0.235828431373
1911,2,-0.443828431373
1911,3,-0.379828431373
1911,4,-0.400828431373
1911,5,-0.285828431373
1911,6,-0.254828431373
1911,7,-0.201828431373
1911,8,-0.185828431373
1911,9,-0.195828431373
1911,10,-0.149828431373
1911,11,-0.0588284313725
1911,12,0.0221715686275
1912,1,-0.0468284313725
1912,2,0.0221715686275
1912,3,-0.0668284313725
1912,4,-0.0238284313725
1912,5,-0.0608284313725
1912,6,0.000171568627451
1912,7,-0.141828431373
1912,8,-0.246828431373
1912,9,-0.243828431373
1912,10,-0.324828431373
1912,11,-0.201828431373
1912,12,-0.167828431373
1913,1,-0.139828431373
1913,2,-0.190828431373
1913,3,-0.222828431373
1913,4,-0.117828431373
1913,5,-0.195828431373
1913,6,-0.192828431373
1913,7,-0.121828431373
1913,8,-0.0788284313725
1913,9,-0.110828431373
1913,10,-0.112828431373
1913,11,0.0471715686275
1913,12,0.0801715686275
1914,1,0.232171568627
1914,2,0.0981715686275
1914,3,-0.0148284313725
1914,4,-0.0728284313725
1914,5,0.0341715686275
1914,6,0.0281715686275
1914,7,-0.0208284313725
1914,8,0.0981715686275
1914,9,0.0531715686275
1914,10,0.163171568627
1914,11,0.136171568627
1914,12,0.0681715686275
1915,1,0.198171568627
1915,2,0.260171568627
1915,3,0.121171568627
1915,4,0.265171568627
1915,5,0.106171568627
1915,6,0.0921715686275
1915,7,0.202171568627
1915,8,0.244171568627
1915,9,0.180171568627
1915,10,0.0561715686275
1915,11,0.180171568627
1915,12,0.0661715686275
1916,1,0.0811715686275
1916,2,0.138171568627
1916,3,-0.0868284313725
1916,4,-0.0218284313725
1916,5,-0.0408284313725
1916,6,-0.161828431373
1916,7,-0.0668284313725
1916,8,-0.0298284313725
1916,9,-0.0218284313725
1916,10,-0.0838284313725
1916,11,-0.255828431373
1916,12,-0.305828431373
1917,1,-0.365828431373
1917,2,-0.441828431373
1917,3,-0.514828431373
1917,4,-0.160828431373
1917,5,-0.339828431373
1917,6,-0.0328284313725
1917,7,0.195171568627
1917,8,0.0981715686275
1917,9,0.191171568627
1917,10,-0.0708284313725
1917,11,-0.0748284313725
1917,12,-0.307828431373
1918,1,-0.186828431373
1918,2,-0.197828431373
1918,3,-0.125828431373
1918,4,-0.173828431373
1918,5,-0.112828431373
1918,6,-0.0178284313725
1918,7,-0.0238284313725
1918,8,-0.0448284313725
1918,9,0.0751715686275
